id,temp,UV,water,health
1,0,1,0.5,0.1
2,4,1,0.5,0.34
3,8,1,0.5,0.4
4,12,1,0.5,0.6
5,16,1,0.5,0.9
6,20,1,0.5,0.85
7,24,1,0.5,0.83
8,28,1,0.5,0.7
9,32,1,0.5,0
10,36,1,0.5,0.13
11,18,1,0.1,0.06
12,18,1,0.2,0.19
13,18,1,0.3,0.3
14,18,1,0.4,0.67
15,18,1,0.5,0.93
16,18,1,0.6,0.89
17,18,1,0.7,0.86
18,18,1,0.8,0.74
19,18,1,0.9,0.56
20,18,1,1,0.12
21,18,1,0.5,0.99
22,18,3,0.5,0.72
23,18,4,0.5,0.68
24,18,5,0.5,0.63
25,18,6,0.5,0.58
26,18,7,0.5,0.55
27,18,8,0.5,0.51
28,18,9,0.5,0.46
29,18,10,0.5,0.33
30,18,11,0.5,0.3
31,18,12,0.5,0.2
32,18,2,0.5,0.9
33,1,1,0.5,0.13
34,2,1,0.5,0.2
35,3,1,0.5,0.23
36,5,1,0.5,0.39
37,6,1,0.5,0.4
38,7,1,0.5,0.42
39,9,1,0.5,0.54
40,10,1,0.5,0.57
41,11,1,0.5,0.6
42,13,1,0.5,0.58
43,14,1,0.5,0.63
44,15,1,0.5,0.68
45,17,1,0.5,0.9
46,18,1,0.5,0.94
47,19,1,0.5,0.9
48,21,1,0.5,0.88
49,22,1,0.5,0.76
50,23,1,0.5,0.653
51,25,1,0.5,0.567
52,26,1,0.5,0.5
53,27,1,0.5,0.53
54,29,1,0.5,0.4
55,30,1,0.5,0.32
56,31,1,0.5,0.25
57,33,1,0.5,0.35
58,34,1,0.5,0.13
59,35,1,0.5,0.2